# Generated by AstrophysicsAugmentationPipeline
# Export date: 2025-12-26T18:39:56.069046
#
P_EL,P_CW,P_ACW,P_EDGE,P_DK,P_MG,P_CS,P_EL_DEBIASED,P_CS_DEBIASED
0.849,0.0,0.057,0.038,0.057,0.0,0.094,0.843,0.1
0.773,0.0,0.0,0.227,0.0,0.0,0.227,0.687,0.313
0.434,0.057,0.019,0.453,0.038,0.0,0.528,0.073,0.869
0.684,0.053,0.053,0.158,0.05299999999999999,0.0,0.263,0.611,0.335
0.844,0.0,0.062,0.031,0.062,0.0,0.094,0.788,0.147
0.812,0.0,0.031,0.094,0.062,0.0,0.125,0.761,0.175
0.857,0.0,0.036,0.0,0.10700000000000001,0.0,0.036,0.811,0.076
0.559,0.0,0.068,0.23699999999999996,0.136,0.0,0.305,0.222,0.571
0.433,0.0,0.267,0.167,0.133,0.0,0.433,0.314,0.543
0.769,0.0,0.019,0.058,0.154,0.0,0.077,0.489,0.239
0.883,0.017,0.0,0.083,0.017,0.0,0.1,0.883,0.1
0.708,0.021,0.062,0.146,0.062,0.0,0.229,0.284,0.594
0.885,0.0,0.0,0.038,0.077,0.0,0.038,0.874,0.049
0.879,0.0,0.0,0.091,0.03,0.0,0.091,0.646,0.305
0.28,0.04,0.04,0.56,0.08,0.0,0.64,0.055,0.845
0.426,0.049,0.098,0.279,0.148,0.0,0.426,0.089,0.691
0.679,0.107,0.0,0.179,0.036,0.0,0.286,0.543,0.418
0.944,0.0,0.0,0.0,0.0,0.056,0.0,0.944,0.0
0.903,0.0,0.0,0.065,0.032,0.0,0.065,0.832,0.133
0.821,0.0,0.071,0.107,0.0,0.0,0.179,0.821,0.179
0.895,0.053,0.026,0.026,0.0,0.0,0.105,0.821,0.179
0.536,0.0,0.107,0.143,0.21400000000000002,0.0,0.25,0.134,0.495
0.054,0.135,0.216,0.595,0.0,0.0,0.946,0.035,0.965
0.615,0.051,0.077,0.205,0.05099999999999999,0.0,0.333,0.25,0.668
0.0,0.0,0.78,0.085,0.017,0.119,0.864,0.0,0.864
0.075,0.7,0.025,0.2,0.0,0.0,0.925,0.019,0.981
0.304,0.391,0.087,0.217,0.0,0.0,0.696,0.071,0.929
0.476,0.111,0.032,0.302,0.079,0.0,0.444,0.342,0.572
0.6,0.025,0.1,0.225,0.05,0.0,0.35,0.129,0.773
0.625,0.018,0.196,0.107,0.054,0.0,0.321,0.357,0.572
0.5,0.0,0.038,0.0,0.077,0.385,0.038,0.5,0.038
0.212,0.0,0.0,0.788,0.0,0.0,0.788,0.147,0.853
0.424,0.0,0.061,0.455,0.061,0.0,0.515,0.19,0.735
0.312,0.219,0.062,0.188,0.219,0.0,0.469,0.089,0.636
0.6,0.04,0.0,0.28,0.08,0.0,0.32,0.26,0.618
0.077,0.346,0.0,0.577,0.0,0.0,0.923,0.03,0.97
0.467,0.433,0.033,0.0,0.067,0.0,0.467,0.467,0.467
0.281,0.0,0.0,0.688,0.0,0.031,0.688,0.227,0.741
0.548,0.065,0.097,0.0,0.0,0.29,0.161,0.455,0.233
0.905,0.0,0.024,0.048,0.024,0.0,0.071,0.887,0.089
0.914,0.0,0.0,0.034,0.052,0.0,0.034,0.914,0.034
0.319,0.085,0.213,0.277,0.085,0.021,0.574,0.086,0.78
0.348,0.043,0.0,0.087,0.261,0.261,0.13,0.23,0.18
0.132,0.302,0.0,0.113,0.357,0.057,0.415,0.089,0.447
0.789,0.0,0.018,0.158,0.035,0.0,0.175,0.553,0.398
0.188,0.125,0.219,0.375,0.062,0.031,0.719,0.048,0.846
0.833,0.042,0.021,0.062,0.021,0.021,0.125,0.751,0.205
0.833,0.0,0.0,0.143,0.024,0.0,0.143,0.776,0.2
0.562,0.219,0.0,0.188,0.031,0.0,0.406,0.263,0.694
0.706,0.029,0.118,0.147,0.0,0.0,0.294,0.326,0.674
0.549,0.07,0.014,0.225,0.127,0.014,0.31,0.233,0.561
0.583,0.042,0.0,0.25,0.125,0.0,0.292,0.152,0.619
0.194,0.0,0.032,0.774,0.0,0.0,0.806,0.077,0.923
0.478,0.0,0.0,0.261,0.217,0.043,0.261,0.228,0.425
0.517,0.069,0.069,0.345,0.0,0.0,0.483,0.185,0.815
0.767,0.0,0.1,0.067,0.067,0.0,0.167,0.33,0.522
0.655,0.034,0.0,0.103,0.069,0.138,0.138,0.469,0.268
0.263,0.026,0.026,0.684,0.0,0.0,0.737,0.087,0.913
0.556,0.037,0.0,0.185,0.22199999999999998,0.0,0.222,0.345,0.375
0.045,0.0,0.0,0.9224599999999626,0.0,0.0,0.955,0.011,0.989
0.655,0.0,0.069,0.172,0.103,0.0,0.241,0.256,0.558
0.49200000000000005,0.0,0.068,0.424,0.017,0.0,0.492,0.49200000000000005,0.492
0.68,0.08,0.04,0.16,0.04,0.0,0.28,0.376,0.566
0.741,0.0,0.019,0.019,0.22199999999999998,0.0,0.037,0.741,0.037
0.306,0.0,0.0,0.667,0.028,0.0,0.667,0.044,0.919
0.37,0.185,0.037,0.222,0.185,0.0,0.444,0.072,0.668
0.028,0.861,0.0,0.111,0.0,0.0,0.972,0.007,0.993
0.823,0.016,0.016,0.048,0.065,0.032,0.081,0.711,0.176
0.276,0.103,0.0,0.276,0.034,0.31,0.379,0.178,0.453
0.76,0.0,0.0,0.08,0.04,0.12,0.08,0.611,0.187
0.241,0.345,0.034,0.379,0.0,0.0,0.759,0.069,0.931
0.652,0.087,0.0,0.217,0.043,0.0,0.304,0.652,0.304
0.667,0.0,0.037,0.185,0.11099999999999999,0.0,0.222,0.375,0.462
0.607,0.107,0.0,0.143,0.143,0.0,0.25,0.607,0.25
0.654,0.0,0.077,0.115,0.154,0.0,0.192,0.476,0.338
0.358,0.038,0.057,0.453,0.094,0.0,0.547,0.162,0.727
0.026,0.9329999999999999,0.0,0.026,0.0,0.0,0.974,0.019,0.981
0.378,0.0,0.0,0.622,0.0,0.0,0.622,0.378,0.622
0.115,0.615,0.0,0.115,0.11499999999999999,0.038,0.731,0.095,0.751
0.784,0.0,0.054,0.054,0.108,0.0,0.108,0.682,0.198
0.535,0.023,0.186,0.233,0.0,0.023,0.442,0.145,0.817
0.288,0.03,0.167,0.439,0.076,0.0,0.636,0.052,0.852
0.778,0.0,0.037,0.111,0.074,0.0,0.148,0.547,0.349
0.288,0.379,0.045,0.258,0.015,0.015,0.682,0.288,0.682
0.418,0.03,0.0,0.552,0.0,0.0,0.582,0.333,0.667
0.364,0.03,0.03,0.0,0.357,0.03,0.061,0.364,0.061
0.355,0.0,0.258,0.323,0.065,0.0,0.581,0.235,0.696
0.765,0.0,0.0,0.11799999999999998,0.11799999999999998,0.0,0.118,0.656,0.213
0.794,0.0,0.0,0.029,0.147,0.029,0.029,0.76,0.057
0.167,0.6,0.0,0.133,0.067,0.033,0.733,0.07,0.823
0.22,0.073,0.024,0.659,0.024,0.0,0.756,0.053,0.918
0.75,0.031,0.0,0.156,0.062,0.0,0.188,0.626,0.305
0.0,0.032,0.9409999999999998,0.0,0.0,0.0,1.0,0.0,1.0
0.75,0.0,0.0,0.139,0.11099999999999999,0.0,0.139,0.517,0.326
0.82,0.016,0.0,0.049,0.11499999999999999,0.0,0.066,0.623,0.204
0.44,0.04,0.32,0.12000000000000001,0.08,0.0,0.48,0.44,0.48
